time,date,hour,precip [mm/day],KS_53719235 [m3/s]
0,2001-01-01,00:00:00.00,---,0.486143
1,2001-01-02,00:00:00.00,0.9,0.318677
2,2001-01-03,00:00:00.00,0.5,0.0756216
3,2001-01-04,00:00:00.00,0,0.000364411
4,2001-01-05,00:00:00.00,0,0.000543716
5,2001-01-06,00:00:00.00,6.1,0.00245559
6,2001-01-07,00:00:00.00,0.5,0.00552001
7,2001-01-08,00:00:00.00,0,0.00507486
8,2001-01-09,00:00:00.00,0,0.00362613
9,2001-01-10,00:00:00.00,0.6,0.00342502
10,2001-01-11,00:00:00.00,3.4,0.00374342
11,2001-01-12,00:00:00.00,0,0.00462754
12,2001-01-13,00:00:00.00,0,0.0041815
13,2001-01-14,00:00:00.00,0,0.0033164
14,2001-01-15,00:00:00.00,0,0.00304292
15,2001-01-16,00:00:00.00,0,0.00261456
16,2001-01-17,00:00:00.00,0,0.00232292
17,2001-01-18,00:00:00.00,0,0.00205184
18,2001-01-19,00:00:00.00,1.5,0.00179969
19,2001-01-20,00:00:00.00,0,0.00160147
20,2001-01-21,00:00:00.00,0,0.00140202
21,2001-01-22,00:00:00.00,0,0.00124697
22,2001-01-23,00:00:00.00,0,0.00110018
23,2001-01-24,00:00:00.00,1.2,0.00119362
24,2001-01-25,00:00:00.00,5.8,0.0033777
25,2001-01-26,00:00:00.00,2.8,0.00671388
26,2001-01-27,00:00:00.00,0,0.0069222
27,2001-01-28,00:00:00.00,0,0.00536931
28,2001-01-29,00:00:00.00,0,0.0046874
29,2001-01-30,00:00:00.00,0,0.00408299
30,2001-01-31,00:00:00.00,4.7,0.00357107
31,2001-02-01,00:00:00.00,2.4,0.00317323
32,2001-02-02,00:00:00.00,9.8,0.00277431
33,2001-02-03,00:00:00.00,5.7,0.0024679
34,2001-02-04,00:00:00.00,7,0.00216462
35,2001-02-05,00:00:00.00,9,0.00260521
36,2001-02-06,00:00:00.00,1.8,0.0145162
37,2001-02-07,00:00:00.00,0,0.0354662
38,2001-02-08,00:00:00.00,0,0.0401524
